PaperID,Title,Citations,Year,Paper url,Google Scholar profile name,Publication date,Journal,Source,Conference,Authors,Primary author,Supporting authors
17946280,Boundary conditions for integrable quantum systems,1719,1988,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lflody4AAAAJ&citation_for_view=lflody4AAAAJ:r0BpntZqJG4C,Evgeny Sklyanin,1988/5/21,Journal of Physics A: Mathematical and General,,,['Evgeni K Sklyanin'],Evgeni K Sklyanin,
35305696,The quantum inverse problem method. 1,1306,1980,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lflody4AAAAJ&citation_for_view=lflody4AAAAJ:QIV2ME_5wuYC,Evgeny Sklyanin,1980/1/1,Theoretical and Mathematical Physics,,,"['Ludwig D Faddeev', 'Evgueni K Sklyanin', 'Leon A Takhtajan']",Ludwig D Faddeev,"['Evgueni K Sklyanin', 'Leon A Takhtajan']"
32237484,Yang-Baxter equation and representation theory: I,1072,1981,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lflody4AAAAJ&citation_for_view=lflody4AAAAJ:u-x6o8ySG0sC,Evgeny Sklyanin,1981/9/1,Letters in Mathematical Physics,,,"['Petr P Kulish', 'N Yu Reshetikhin', 'EK Sklyanin']",Petr P Kulish,"['N Yu Reshetikhin', 'EK Sklyanin']"
47234720,Quantum spectral transform method recent developments,1048,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lflody4AAAAJ&citation_for_view=lflody4AAAAJ:d1gkVwhDpl0C,Evgeny Sklyanin,2005/5/23,,,,"['Peter P Kulish', 'Evgeny K Sklyanin']",Peter P Kulish,['Evgeny K Sklyanin']
26670714,Some algebraic structures connected with the Yang–Baxter equation,971,1982,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lflody4AAAAJ&citation_for_view=lflody4AAAAJ:u5HHmVD_uO8C,Evgeny Sklyanin,1982/1/1,Funktsional'nyi Analiz i ego Prilozheniya,,,['Evgeny Konstantinovich Sklyanin'],Evgeny Konstantinovich Sklyanin,
64573259,Separation of variablesnew trends,620,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lflody4AAAAJ&citation_for_view=lflody4AAAAJ:9ZlFYXVOiuMC,Evgeny Sklyanin,1995/1/1,Progress of Theoretical Physics Supplement,,,['Evgueni K Sklyanin'],Evgueni K Sklyanin,
55844017,Solutions of the Yang-Baxter equation,459,1982,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lflody4AAAAJ&citation_for_view=lflody4AAAAJ:2osOgNQ5qMEC,Evgeny Sklyanin,1982/7/1,Journal of Mathematical Sciences,,,"['PP Kulish', 'EK Sklyanin']",PP Kulish,['EK Sklyanin']
27093756,Some algebraic structures connected with the Yang—Baxter equation. Representations of quantum algebras,416,1983,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lflody4AAAAJ&citation_for_view=lflody4AAAAJ:UeHWp8X0CEIC,Evgeny Sklyanin,1983/10/1,Functional Analysis and Its Applications,,,['Evgeny Konstantinovich Sklyanin'],Evgeny Konstantinovich Sklyanin,
37042271,Quantum version of the method of inverse scattering problem,363,1982,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lflody4AAAAJ&citation_for_view=lflody4AAAAJ:eQOLeE2rZwMC,Evgeny Sklyanin,1982/7/1,Journal of Mathematical Sciences,,,['EK Sklyanin'],EK Sklyanin,
85085923,On complete integrability of the Landau-Lifshitz equation,308,1979,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lflody4AAAAJ&citation_for_view=lflody4AAAAJ:iH-uZ7U-co4C,Evgeny Sklyanin,1979/10/1,,,,['EK Sklyanin'],EK Sklyanin,
45460501,Quantum inverse scattering method. Selected topics,307,1992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lflody4AAAAJ&citation_for_view=lflody4AAAAJ:Tyk-4Ss8FVUC,Evgeny Sklyanin,1992/11/24,arXiv preprint hep-th/9211111,,,['EK Sklyanin'],EK Sklyanin,
58450639,The quantum Toda chain,301,1985,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lflody4AAAAJ&citation_for_view=lflody4AAAAJ:ns9cj8rnVeAC,Evgeny Sklyanin,1985/1/1,Non-Linear Equations in Classical and Quantum Field Theory,,,['E Sklyanin'],E Sklyanin,
8397206,Separation of variables in the Gaudin model,281,1989,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lflody4AAAAJ&citation_for_view=lflody4AAAAJ:qjMakFHDy7sC,Evgeny Sklyanin,1989/10/1,Journal of Soviet Mathematics,,,['EK Sklyanin'],EK Sklyanin,
43021749,On an algebra generated by quadratic relations,272,1985,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lflody4AAAAJ&citation_for_view=lflody4AAAAJ:vV6vV6tmYwMC,Evgeny Sklyanin,1985/1/1,Uspekhi Mat. Nauk,,,['Evgeny K Sklyanin'],Evgeny K Sklyanin,
28060484,Boundary conditions for integrable equations,261,1987,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lflody4AAAAJ&citation_for_view=lflody4AAAAJ:IjCSPb-OGe4C,Evgeny Sklyanin,1987/4/1,Functional Analysis and its Applications,,,['Evgeny Konstantinovich Sklyanin'],Evgeny Konstantinovich Sklyanin,
